party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level
0,오후 3:40,117,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
0,오후 3:40,137,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
0,오후 3:40,137,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
0,오후 3:40,161,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
0,오후 3:40,,프리스트,,불어전,2024-12-07,False,,6.215757789824323
4,오후 3:30,125,허밋,unknown,붉켄,2024-12-07,False,,18.86360871563267
4,오후 3:30,,썬콜,,붉켄,2024-12-07,False,,6.891684809695825
5,오후 3:31,,허밋,2109,,2024-12-07,False,,18.86360871563267
6,오후 3:31,112,레인저,2950,오징어,2024-12-07,True,26.339285714285715,23.436526497299532
6,오후 3:31,117,크루세이더,3696,오징어,2024-12-07,True,31.58974358974359,35.442523907344
6,오후 3:31,127,허밋,2096,오징어,2024-12-07,True,16.503937007874015,18.86360871563267
6,오후 3:31,109,허밋,2300,오징어,2024-12-07,True,21.10091743119266,18.86360871563267
7,오후 3:31,83,저격수,,듀파,2024-12-07,True,,23.21914787922896
7,오후 3:31,89,크루세이더,,듀파,2024-12-07,True,,35.442523907344
7,오후 3:31,96,허밋,,듀파,2024-12-07,True,,18.86360871563267
7,오후 3:31,93,용기사,,듀파,2024-12-07,True,,37.91186019836644
8,오후 3:31,100,프리스트,unknown,듀파,2024-12-07,False,,6.215757789824323
9,오후 3:31,,썬콜,877,,2024-12-07,False,,6.891684809695825
10,오후 3:31,133,크루세이더,unknown,망둥어,2024-12-07,False,,35.442523907344
10,오후 3:31,125,크루세이더,unknown,망둥어,2024-12-07,False,,35.442523907344
11,오후 3:31,125,저격수,unknown,,2024-12-07,False,,23.21914787922896
11,오후 3:31,115,썬콜,unknown,,2024-12-07,False,,6.891684809695825
11,오후 3:31,125,용기사,unknown,,2024-12-07,False,,37.91186019836644
11,오후 3:31,126,허밋,unknown,,2024-12-07,False,,18.86360871563267
11,오후 3:31,,허밋,,,2024-12-07,False,,18.86360871563267
12,오후 3:31,115,허밋,unknown,,2024-12-07,False,,18.86360871563267
12,오후 3:31,143,허밋,unknown,,2024-12-07,False,,18.86360871563267
15,오후 3:31,123,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
15,오후 3:31,132,프리스트,unknown,불어전,2024-12-07,False,,6.215757789824323
15,오후 3:31,140,허밋,unknown,불어전,2024-12-07,False,,18.86360871563267
16,오후 3:31,91,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
