party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level,spec_to_level_outlier,refined_average_spec_to_level
8,오전 12:42,143,저격수,3800,망용둥,2024-12-09,True,26.573426573426573,26.1507909566162,False,26.1507909566162
8,오전 12:42,110,용기사,4639,망용둥,2024-12-09,True,42.17272727272727,40.23578520726412,False,37.53927987474574
18,오전 12:43,137,용기사,4950,망용둥,2024-12-09,True,36.13138686131387,40.23578520726412,False,37.53927987474574
33,오전 12:44,91,프리스트,790,,2024-12-09,True,8.68131868131868,7.479120879120879,False,7.479120879120879
52,오전 12:45,121,레인저,2760,망용둥,2024-12-09,True,22.8099173553719,21.551816899954375,False,23.269572291726607
75,오전 12:46,110,허밋,2050,망용둥,2024-12-09,True,18.636363636363637,17.994164429541307,False,17.51808280250405
85,오전 12:47,103,저격수,2650,와협,2024-12-09,True,25.728155339805824,26.1507909566162,False,26.1507909566162
95,오전 12:48,122,썬콜,900,망용둥,2024-12-09,True,7.377049180327869,7.046419327006039,False,7.046419327006039
99,오전 12:51,153,용기사,5250,,2024-12-09,True,34.31372549019608,40.23578520726412,False,37.53927987474574
143,오전 12:53,141,크루세이더,3753,망둥어,2024-12-09,True,26.617021276595743,26.617021276595743,False,26.617021276595743
147,오전 12:53,95,썬콜,638,붉켄,2024-12-09,True,6.71578947368421,7.046419327006039,False,7.046419327006039
165,오전 2:05,112,허밋,1650,듀파,2024-12-09,True,14.732142857142858,17.994164429541307,False,17.51808280250405
179,오전 2:06,121,허밋,2190,망용둥,2024-12-09,True,18.09917355371901,17.994164429541307,False,17.51808280250405
229,오전 2:09,86,허밋,1600,듀파,2024-12-09,True,18.6046511627907,17.994164429541307,False,17.51808280250405
237,오전 2:09,136,레인저,3200,망용둥,2024-12-09,True,23.529411764705884,21.551816899954375,False,23.269572291726607
241,오전 2:09,130,프리스트,816,불어전,2024-12-09,True,6.276923076923077,7.479120879120879,False,7.479120879120879
249,오전 2:09,98,레인저,2300,듀파,2024-12-09,True,23.46938775510204,21.551816899954375,False,23.269572291726607
