party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level,refined_average_spec_to_level
2,오후 5:14,109,썬콜,684,붉켄,2024-12-08,True,6.275229357798165,7.152870528223969,6.725666856090984
7,오후 5:14,115,크루세이더,3730,오징어,2024-12-08,True,32.43478260869565,34.45482870185702,34.45482870185702
7,오후 5:14,111,저격수,2764,오징어,2024-12-08,True,24.9009009009009,25.326556645140716,25.326556645140716
16,오후 5:14,104,레인저,2500,와협,2024-12-08,True,24.03846153846154,21.808215338178,21.808215338178
18,오후 5:14,114,크루세이더,3800,망둥어,2024-12-08,True,33.333333333333336,34.45482870185702,34.45482870185702
24,오후 5:14,100,레인저,2500,듀파,2024-12-08,True,25.0,21.808215338178,21.808215338178
25,오후 5:14,135,허밋,2574,,2024-12-08,True,19.066666666666666,16.324589028348427,18.496825396825397
28,오후 5:15,108,레인저,2200,오징어,2024-12-08,True,20.37037037037037,21.808215338178,21.808215338178
29,오후 5:15,100,레인저,2100,,2024-12-08,True,21.0,21.808215338178,21.808215338178
47,오후 5:15,113,레인저,2500,듀파,2024-12-08,True,22.123893805309734,21.808215338178,21.808215338178
48,오후 5:16,113,저격수,2910,와협,2024-12-08,True,25.75221238938053,25.326556645140716,25.326556645140716
54,오후 5:16,109,레인저,2200,오징어,2024-12-08,True,20.18348623853211,21.808215338178,21.808215338178
57,오후 5:16,110,프리스트,700,검켄,2024-12-08,True,6.363636363636363,6.5332817834791115,6.5332817834791115
87,오후 5:17,88,썬콜,590,붉켄,2024-12-08,True,6.704545454545454,7.152870528223969,6.725666856090984
96,오후 5:18,105,레인저,2460,듀파,2024-12-08,True,23.428571428571427,21.808215338178,21.808215338178
96,오후 5:18,90,크루세이더,3639,듀파,2024-12-08,True,40.43333333333333,34.45482870185702,34.45482870185702
96,오후 5:18,88,나이트,2750,듀파,2024-12-08,True,31.25,35.48749692042375,31.072154471544714
104,오후 6:18,129,프리스트,810,불어전,2024-12-08,True,6.27906976744186,6.5332817834791115,6.5332817834791115
104,오후 6:18,112,프리스트,810,불어전,2024-12-08,True,7.232142857142857,6.5332817834791115,6.5332817834791115
105,오후 6:18,126,허밋,2100,듀파,2024-12-08,True,16.666666666666668,16.324589028348427,18.496825396825397
105,오후 6:18,80,용기사,4000,듀파,2024-12-08,True,50.0,45.30690454774112,45.90277777777778
117,오후 6:18,151,프리스트,945,불어전,2024-12-08,True,6.258278145695364,6.5332817834791115,6.5332817834791115
129,오후 6:19,112,용기사,5400,,2024-12-08,True,48.214285714285715,45.30690454774112,45.90277777777778
131,오후 6:19,126,용기사,4600,,2024-12-08,True,36.507936507936506,45.30690454774112,45.90277777777778
131,오후 6:19,130,크루세이더,4200,,2024-12-08,True,32.30769230769231,34.45482870185702,34.45482870185702
131,오후 6:19,98,불독,820,,2024-12-08,True,8.36734693877551,8.36734693877551,8.36734693877551
133,오후 6:19,109,크루세이더,3600,오징어,2024-12-08,True,33.027522935779814,34.45482870185702,34.45482870185702
133,오후 6:19,104,크루세이더,3660,오징어,2024-12-08,True,35.19230769230769,34.45482870185702,34.45482870185702
133,오후 6:19,133,레인저,2354,오징어,2024-12-08,True,17.69924812030075,21.808215338178,21.808215338178
140,오후 6:19,107,레인저,2400,오징어,2024-12-08,True,22.429906542056074,21.808215338178,21.808215338178
143,오후 6:20,123,나이트,3800,,2024-12-08,True,30.89430894308943,35.48749692042375,31.072154471544714
144,오후 6:20,90,용기사,4400,,2024-12-08,True,48.888888888888886,45.30690454774112,45.90277777777778
147,오후 6:20,126,허밋,2420,,2024-12-08,True,19.206349206349206,16.324589028348427,18.496825396825397
164,오후 6:20,100,썬콜,780,붉켄,2024-12-08,True,7.8,7.152870528223969,6.725666856090984
168,오후 6:21,124,썬콜,800,,2024-12-08,True,6.451612903225806,7.152870528223969,6.725666856090984
184,오후 6:21,126,허밋,2400,,2024-12-08,True,19.047619047619047,16.324589028348427,18.496825396825397
196,오후 6:22,131,썬콜,838,붉켄,2024-12-08,True,6.396946564885496,7.152870528223969,6.725666856090984
