party_id,time,level,job,spec,map,date,valid
0,오전 12:42,131,용기사,,와협,2024-12-10,False
0,오전 12:42,98,불독,,와협,2024-12-10,False
0,오전 12:42,98,레인저,,와협,2024-12-10,False
0,오전 12:42,,프리스트,,와협,2024-12-10,False
1,오전 12:42,123,용기사,,망둥어,2024-12-10,False
2,오전 12:42,,레인저,,붉켄,2024-12-10,False
3,오전 12:42,111,썬콜,,와협,2024-12-10,False
4,오전 12:42,117,프리스트,,검켄,2024-12-10,False
5,오전 12:42,106,썬콜,,불어전,2024-12-10,False
5,오전 12:42,,썬콜,,불어전,2024-12-10,False
6,오전 12:42,,허밋,,망용둥,2024-12-10,False
7,오전 12:42,83,썬콜,,,2024-12-10,False
7,오전 12:42,83,용기사,4011,,2024-12-10,True
8,오전 12:42,143,저격수,3800,망용둥,2024-12-10,True
8,오전 12:42,122,썬콜,,망용둥,2024-12-10,False
8,오전 12:42,122,레인저,,망용둥,2024-12-10,False
8,오전 12:42,110,용기사,4639,망용둥,2024-12-10,True
9,오전 12:42,135,나이트,,,2024-12-10,False
9,오전 12:42,148,용기사,,,2024-12-10,False
9,오전 12:42,,크루세이더,,,2024-12-10,False
9,오전 12:42,,나이트,,,2024-12-10,False
10,오전 12:42,129,프리스트,,불어전,2024-12-10,False
10,오전 12:42,135,썬콜,,불어전,2024-12-10,False
10,오전 12:42,135,용기사,,불어전,2024-12-10,False
10,오전 12:42,83,용기사,,불어전,2024-12-10,False
11,오전 12:43,,허밋,2070,검켄,2024-12-10,False
18,오전 12:43,137,용기사,4950,망용둥,2024-12-10,True
18,오전 12:43,,용기사,4950,망용둥,2024-12-10,False
20,오전 12:43,,프리스트,730,,2024-12-10,False
21,오전 12:43,164,썬콜,,망용둥,2024-12-10,False
21,오전 12:43,,용기사,,망용둥,2024-12-10,False
22,오전 12:43,112,불독,,협동,2024-12-10,False
22,오전 12:43,80,불독,,협동,2024-12-10,False
22,오전 12:43,80,프리스트,,협동,2024-12-10,False
27,오전 12:43,,저격수,2650,와협,2024-12-10,False
30,오전 12:43,130,허밋,,위용둥,2024-12-10,False
30,오전 12:43,138,썬콜,,위용둥,2024-12-10,False
31,오전 12:44,124,허밋,,불어전,2024-12-10,False
31,오전 12:44,124,프리스트,,불어전,2024-12-10,False
31,오전 12:44,142,프리스트,,불어전,2024-12-10,False
33,오전 12:44,91,프리스트,790,,2024-12-10,True
34,오전 12:44,94,레인저,,레와둥,2024-12-10,False
34,오전 12:44,94,썬콜,,레와둥,2024-12-10,False
35,오전 12:44,156,용기사,,협동,2024-12-10,False
35,오전 12:44,113,불독,,협동,2024-12-10,False
35,오전 12:44,102,불독,,협동,2024-12-10,False
36,오전 12:44,,프리스트,830,불어전,2024-12-10,False
37,오전 12:44,94,시프,,듀파,2024-12-10,False
37,오전 12:44,93,레인저,,듀파,2024-12-10,False
37,오전 12:44,93,허밋,,듀파,2024-12-10,False
37,오전 12:44,90,크루세이더,,듀파,2024-12-10,False
37,오전 12:44,112,허밋,,듀파,2024-12-10,False
39,오전 12:44,100,썬콜,,협동,2024-12-10,False
40,오전 12:44,103,프리스트,,,2024-12-10,False
46,오전 12:44,114,레인저,,와협,2024-12-10,False
49,오전 12:44,95,용기사,,,2024-12-10,False
51,오전 12:45,102,레인저,,레와둥,2024-12-10,False
51,오전 12:45,102,썬콜,,레와둥,2024-12-10,False
52,오전 12:45,121,레인저,2760,망용둥,2024-12-10,True
52,오전 12:45,,레인저,2760,망용둥,2024-12-10,False
53,오전 12:45,117,저격수,,듀파,2024-12-10,False
54,오전 12:45,144,용기사,,협동,2024-12-10,False
54,오전 12:45,144,불독,,협동,2024-12-10,False
54,오전 12:45,,불독,,협동,2024-12-10,False
55,오전 12:45,134,용기사,,,2024-12-10,False
57,오전 12:45,136,크루세이더,,협동,2024-12-10,False
57,오전 12:45,90,불독,,협동,2024-12-10,False
61,오전 12:45,147,허밋,,위용둥,2024-12-10,False
61,오전 12:45,137,허밋,,위용둥,2024-12-10,False
61,오전 12:45,100,용기사,,위용둥,2024-12-10,False
67,오전 12:46,113,크루세이더,,골짜기,2024-12-10,False
67,오전 12:46,109,썬콜,,골짜기,2024-12-10,False
69,오전 12:46,132,용기사,,협동,2024-12-10,False
69,오전 12:46,90,프리스트,,협동,2024-12-10,False
75,오전 12:46,110,허밋,2050,망용둥,2024-12-10,True
80,오전 12:47,128,허밋,,불어전,2024-12-10,False
80,오전 12:47,155,프리스트,,불어전,2024-12-10,False
80,오전 12:47,155,허밋,,불어전,2024-12-10,False
81,오전 12:47,,프리스트,700,검켄,2024-12-10,False
85,오전 12:47,103,썬콜,,와협,2024-12-10,False
85,오전 12:47,103,저격수,2650,와협,2024-12-10,True
85,오전 12:47,103,레인저,,와협,2024-12-10,False
88,오전 12:47,102,시프,,불어전,2024-12-10,False
