party_id,time,level,job,spec,map,date,valid,valid_spec,spec_by_level,avg_spec_by_level
24,오전 12:01,128,허밋,2450,망용둥,2024-12-10,True,True,19.140625,18.474924785313952
58,오전 12:03,136,허밋,2600,망용둥,2024-12-10,True,True,19.11764705882353,18.474924785313952
62,오전 12:03,116,용기사,4218,불어전,2024-12-10,True,True,36.36206896551724,35.394149236856975
73,오전 12:03,133,썬콜,837,레와둥,2024-12-10,True,True,6.293233082706767,6.344197585449373
73,오전 12:03,105,썬콜,711,레와둥,2024-12-10,True,True,6.771428571428571,6.344197585449373
86,오전 12:04,131,허밋,2460,망용둥,2024-12-10,True,True,18.778625954198475,18.474924785313952
95,오전 12:04,118,크루세이더,3900,오징어,2024-12-10,True,True,33.05084745762712,32.54697743885196
95,오전 12:04,103,레인저,2350,오징어,2024-12-10,True,True,22.815533980582526,22.815533980582526
95,오전 12:04,114,크루세이더,3650,오징어,2024-12-10,True,True,32.01754385964912,32.54697743885196
95,오전 12:04,105,허밋,2000,오징어,2024-12-10,True,True,19.047619047619047,18.474924785313952
95,오전 12:04,112,크루세이더,3800,오징어,2024-12-10,True,True,33.92857142857143,32.54697743885196
95,오전 12:04,144,썬콜,871,오징어,2024-12-10,True,True,6.048611111111111,6.344197585449373
102,오전 12:08,125,허밋,2200,망용둥,2024-12-10,True,True,17.6,18.474924785313952
112,오전 12:09,142,썬콜,900,망용둥,2024-12-10,True,True,6.338028169014085,6.344197585449373
141,오전 12:10,112,썬콜,720,불어전,2024-12-10,True,True,6.428571428571429,6.344197585449373
141,오전 12:10,120,허밋,2200,불어전,2024-12-10,True,True,18.333333333333332,18.474924785313952
145,오전 12:10,118,썬콜,732,레와둥,2024-12-10,True,True,6.203389830508475,6.344197585449373
145,오전 12:10,139,썬콜,877,레와둥,2024-12-10,True,True,6.309352517985611,6.344197585449373
146,오전 12:10,145,허밋,2800,협동,2024-12-10,True,True,19.310344827586206,18.474924785313952
146,오전 12:10,137,썬콜,877,협동,2024-12-10,True,True,6.401459854014599,6.344197585449373
163,오전 12:11,152,허밋,2800,망용둥,2024-12-10,True,True,18.42105263157895,18.474924785313952
169,오전 12:11,126,크루세이더,4181,블와둥,2024-12-10,True,True,33.182539682539684,32.54697743885196
177,오전 12:12,135,썬콜,851,망용둥,2024-12-10,True,True,6.303703703703704,6.344197585449373
188,오전 12:12,129,프리스트,800,불어전,2024-12-10,True,True,6.2015503875969,6.2015503875969
