party_id,time,level,job,spec,map,date,valid,valid_spec
0,오후 3:40,,썬콜,,불어전,2024-12-07,False,False
0,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
0,오후 3:40,,썬콜,,불어전,2024-12-07,False,False
0,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
0,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
1,오후 3:40,,썬콜,,불어전,2024-12-07,False,False
1,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
1,오후 3:40,,썬콜,,불어전,2024-12-07,False,False
1,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
1,오후 3:40,,프리스트,,불어전,2024-12-07,False,False
4,오후 3:30,,허밋,,붉켄,2024-12-07,False,False
4,오후 3:30,,썬콜,,붉켄,2024-12-07,False,False
4,오후 3:30,,썬콜,,붉켄,2024-12-07,False,False
5,오후 3:31,,허밋,2109,,2024-12-07,False,False
6,오후 3:31,117,레인저,2950,오징어,2024-12-07,True,True
6,오후 3:31,117,크루세이더,3696,오징어,2024-12-07,True,True
6,오후 3:31,127,허밋,2096,오징어,2024-12-07,True,True
6,오후 3:31,109,허밋,2300,오징어,2024-12-07,True,True
6,오후 3:31,,프리스트,,오징어,2024-12-07,False,False
7,오후 3:31,83,저격수,,듀파,2024-12-07,False,False
7,오후 3:31,96,크루세이더,,듀파,2024-12-07,False,False
7,오후 3:31,96,허밋,,듀파,2024-12-07,False,False
7,오후 3:31,93,용기사,,듀파,2024-12-07,False,False
7,오후 3:31,,프리스트,,듀파,2024-12-07,False,False
8,오후 3:31,,프리스트,,물어전,2024-12-07,False,False
9,오후 3:31,,썬콜,877,망용둥,2024-12-07,False,False
10,오후 3:31,133,크루세이더,,망둥어,2024-12-07,False,False
10,오후 3:31,125,크루세이더,,망둥어,2024-12-07,False,False
10,오후 3:31,,프리스트,,망둥어,2024-12-07,False,False
11,오후 3:31,125,저격수,,망용둥,2024-12-07,False,False
11,오후 3:31,,썬콜,,망용둥,2024-12-07,False,False
11,오후 3:31,,용기사,,망용둥,2024-12-07,False,False
11,오후 3:31,,허밋,,망용둥,2024-12-07,False,False
11,오후 3:31,,허밋,,망용둥,2024-12-07,False,False
12,오후 3:31,125,허밋,,위용둥,2024-12-07,False,False
12,오후 3:31,125,허밋,,위용둥,2024-12-07,False,False
12,오후 3:31,125,허밋,,위용둥,2024-12-07,False,False
12,오후 3:31,,프리스트,,위용둥,2024-12-07,False,False
14,오후 3:31,,프리스트,,,2024-12-07,False,False
